,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Number,Cellulose,Hemicellulose,Lignin,Temp,Pressure,Equivalance mass ratio,Steam to biomass mass ratio,Superficial gas velocity,H2,CO,CO2,CH4,Lower heating value,Char yield,tar yield,,,,,,
172,0.50,0.30,0.19,650.00,1.00,0.00,1.00,0.73,29.69,27.87,25.40,17.05,7.63,5.10,0.00,,,,,,
173,0.50,0.30,0.19,710.00,1.00,0.00,2.00,0.69,38.80,25.32,24.45,11.43,7.84,6.10,0.00,,,,,,
174,0.50,0.30,0.19,710.00,1.00,0.00,2.00,0.69,37.49,26.08,23.59,12.83,7.40,5.80,0.00,,,,,,
175,0.50,0.30,0.19,600.00,1.00,0.00,0.33,0.61,24.85,26.73,34.53,13.90,6.48,6.20,0.00,,,,,,
176,0.50,0.30,0.19,600.00,1.00,0.00,0.33,0.63,23.43,27.78,33.93,14.85,5.61,6.40,0.00,,,,,,
177,0.50,0.30,0.19,600.00,1.00,0.00,0.33,0.69,26.54,27.70,27.11,18.64,5.37,6.40,0.00,,,,,,
178,0.50,0.30,0.19,650.00,1.00,0.00,0.33,0.67,30.54,27.32,28.78,13.35,7.39,6.70,0.00,,,,,,
179,0.50,0.30,0.19,650.00,1.00,0.00,0.33,0.67,28.75,28.50,27.02,15.73,10.79,4.80,0.00,,,,,,
180,0.50,0.30,0.19,650.00,1.00,0.00,0.33,0.73,28.82,28.50,25.48,17.20,10.47,4.40,0.00,,,,,,
181,0.50,0.30,0.19,600.00,1.00,0.00,0.50,0.61,27.69,24.00,34.85,13.45,5.30,5.80,0.00,,,,,,
182,0.50,0.30,0.19,600.00,1.00,0.00,0.50,0.61,27.49,24.49,33.94,14.07,5.54,5.40,0.00,,,,,,
183,0.50,0.30,0.19,600.00,1.00,0.00,0.50,0.69,25.97,25.93,31.04,17.07,6.71,5.30,0.00,,,,,,
184,0.50,0.30,0.19,650.00,1.00,0.00,0.50,0.65,31.87,25.44,29.52,13.17,6.36,2.80,0.00,,,,,,
185,0.50,0.30,0.19,650.00,1.00,0.00,0.50,0.65,29.65,27.17,27.62,15.55,6.56,3.00,0.00,,,,,,
186,0.50,0.30,0.19,650.00,1.00,0.00,0.50,0.65,30.40,26.99,25.85,16.76,7.60,3.10,0.00,,,,,,
187,0.50,0.30,0.19,710.00,1.00,0.00,0.60,0.78,37.31,26.86,22.87,12.96,7.88,2.60,0.00,,,,,,
188,0.50,0.30,0.19,710.00,1.00,0.00,0.74,0.77,38.19,26.15,23.98,11.68,13.65,2.90,0.00,,,,,,
189,0.44,0.27,0.30,650.00,1.00,0.00,1.00,0.73,31.25,25.64,26.16,16.95,13.45,3.10,16.80,,,,,,
190,0.44,0.27,0.30,650.00,1.00,0.00,1.00,0.73,32.57,24.13,28.25,15.06,12.71,2.40,28.36,,,,,,
191,0.44,0.27,0.30,650.00,1.00,0.00,1.00,0.73,34.66,22.82,29.40,13.12,11.55,2.30,48.63,,,,,,
192,0.44,0.27,0.30,600.00,1.00,0.00,1.00,0.69,33.04,25.03,28.32,13.61,7.26,2.40,63.32,,,,,,
